id,nombre,tipo,area,subarea,descripcion,institucion,pais,idioma,acceso,url,recursos_disp,estado
23,Wolfram Demonstrations Project,Simulador interactivo,Matemáticas,General,"Colección de más de 13.000 demostraciones interactivas y de acceso libre, organizadas por temas como matemáticas, finanzas, ciencias de la computación y economía, que permiten manipular variables y ver los resultados en tiempo real (requiere el reproductor gratuito Wolfram Player).",Wolfram Research,Estados Unidos,Inglés,Gratuito,https://demonstrations.wolfram.com/,Demostraciones interactivas de matemáticas y finanzas,Revisado
24,Python Tutor,Simulador interactivo,Programación,General,"Compilador y depurador visual gratuito que muestra paso a paso, línea por línea, cómo se ejecuta un programa (Python, Java, C, C++ y JavaScript), visualizando variables, memoria y estructuras de datos: ideal para introducir lógica de programación.",Philip Guo,Estados Unidos,Inglés,Gratuito,https://pythontutor.com/,Visualizador y depurador de código paso a paso,Revisado
25,Scratch,Simulador interactivo,Programación,General,"Lenguaje y entorno de programación visual por bloques desarrollado por el MIT Media Lab, que permite crear animaciones, historias interactivas y videojuegos sin escribir código de texto, introduciendo conceptos de secuencias, bucles, condicionales y variables.",MIT Media Lab,Estados Unidos,Multilingüe,Gratuito,https://scratch.mit.edu/,"Programación por bloques, proyectos interactivos",Revisado
26,Virtonomics,Simulador de negocios,Administración,Gestión empresarial,"Simulador de negocios multijugador basado en navegador donde se administra una empresa virtual (producción, ventas, personal, competencia de mercado) para practicar principios de gestión, finanzas y estrategia empresarial. Se usa desde 2009 como herramienta de entrenamiento en universidades y escuelas de negocios.",GamerFlot Trading Ltd.,Rusia,Multilingüe,Freemium,https://es.virtonomics.com/,"Simulación de gestión empresarial, producción y mercado",Revisado
27,Project Gutenberg,Biblioteca digital,General,General,"La biblioteca digital gratuita más antigua de Internet (desde 1971): ofrece más de 70.000 libros electrónicos de dominio público para leer en línea o descargar en varios formatos (EPUB, Kindle, HTML, texto plano), sin necesidad de registro.",Project Gutenberg Literary Archive Foundation,Estados Unidos,Multilingüe,Gratuito,https://www.gutenberg.org/,Libros de dominio público,Revisado
28,Open Library (Internet Archive),Biblioteca digital,General,General,"Biblioteca digital sin ánimo de lucro operada por Internet Archive, con más de 1,7 millones de libros de dominio público en descarga directa (PDF, ePub) y millones más disponibles en préstamo digital controlado con una cuenta gratuita.",Internet Archive,Estados Unidos,Multilingüe,Gratuito con registro,https://openlibrary.org/,Libros para descargar y en préstamo digital,Revisado
29,Biblioteca Digital Comfama,Biblioteca digital,General,General,"Biblioteca digital de la Caja de Compensación Familiar Comfama (Medellín y Antioquia), con préstamo gratuito de libros, audiolibros, podcast y revistas digitales a través de la app Libby, gracias a una alianza interbibliotecaria con Comfenalco Antioquia, Comfandi, Compensar y Comfamiliar Risaralda que suma más de 67.000 títulos. El registro es gratuito y abierto tanto a afiliados como a no afiliados.",Comfama,Colombia,Español,Gratuito con registro,https://www.comfama.com/bibliotecas/,"Libros, audiolibros, revistas digitales, podcasts",Revisado
30,Servicios Digitales de Bibliotecas Comfenalco Antioquia,Biblioteca digital,General,General,"Red de bibliotecas de la Caja de Compensación Comfenalco Antioquia (Medellín), que ofrece libros, plataformas, revistas y audios de forma gratuita a quienes se inscriban en la Red de Bibliotecas, además de catálogos especializados en temas territoriales de Medellín, Bello, Itagüí y Envigado.",Comfenalco Antioquia,Colombia,Español,Gratuito con registro,https://www.comfenalcoantioquia.com.co/personas/servicios/formacion-y-bibliotecas-2/bibliotecas/servicios-digitales,"Libros, revistas, audios, colecciones territoriales",Revisado
31,Sistema de Bibliotecas Públicas de Medellín – Colección Digital Libby,Biblioteca digital,General,General,"Red oficial de 26 bibliotecas públicas de Medellín (parques biblioteca y bibliotecas de proximidad) que ofrece, a través de la app Libby, préstamo digital gratuito de libros electrónicos, audiolibros y revistas, con lectura sin conexión a internet.",Alcaldía de Medellín – Sistema de Bibliotecas Públicas de Medellín,Colombia,Español,Gratuito con registro,https://bibliotecasmedellin.gov.co/coleccion-digital-libby/,"Libros, audiolibros, revistas digitales",Revisado
32,MIT OpenCourseWare,Repositorio de contenido,Tecnología / Administración,General,"Colección digital gratuita y de libre acceso del Instituto Tecnológico de Massachusetts (MIT), con materiales completos de más de 2.500 cursos de pregrado y posgrado: notas de clase, videoconferencias, lecturas, tareas, exámenes resueltos y libros de texto, sin necesidad de registro ni certificación.",Massachusetts Institute of Technology (MIT),Estados Unidos,Inglés (algunos traducidos),Gratuito,https://ocw.mit.edu/,"Notas de clase, videos, tareas, exámenes, libros de texto",Revisado
33,Open Yale Courses,Repositorio de contenido,General,General,"Plataforma de la Universidad de Yale que ofrece, desde 2007, materiales completos de cursos de pregrado (videoconferencias, transcripciones y programas) de forma gratuita y sin registro, en áreas como economía, ciencias sociales, filosofía y humanidades.",Yale University,Estados Unidos,Inglés,Gratuito,https://oyc.yale.edu/,"Videoconferencias, transcripciones, programas de curso",Revisado
34,UPV[X] – Aula Abierta / OpenCourseWare UPV,Repositorio de contenido,Tecnología / Administración,General,"Portal de acceso abierto de la Universitat Politècnica de València con materiales docentes gratuitos en español: OpenCourseWare de asignaturas, videoclases, MOOCs (a través de UPV[X] en edX) y conferencias, en áreas como ingeniería, tecnología, gestión empresarial y ciencias.",Universitat Politècnica de València,España,Español,Gratuito,https://www.upv.es/estudios/aula-abierta/,"Cursos OCW, videoclases, MOOCs, conferencias",Revisado
